source,cell,rows,cols,mux,op,corner,temp,vdd,T,mc,tclk_wlen,tclk_dec,trestore,access,low,high,wave,failed
v202_sweep,6T,1,1,0,read,TT,25.0,1.0,1e-08,1,112.6,,216.5,282.7,395.4,216.5,True,
v202_sweep,6T,1,1,0,write,TT,25.0,1.0,1e-08,1,114.3,,187.9,119.4,233.8,187.9,True,
v202_sweep,6T,20,10,0,read,TT,25.0,1.0,1e-08,1,133.3,202.1,251.5,309.2,442.5,251.5,True,
v202_sweep,6T,20,10,0,write,TT,25.0,1.0,1e-08,1,140.9,205.7,239.8,86.3,227.2,239.8,True,
v202_sweep,6T,20,10,1,read,TT,25.0,1.0,1e-08,1,133.3,202.1,237.6,306.3,439.6,237.6,True,
v202_sweep,6T,20,10,1,write,TT,25.0,1.0,1e-08,1,140.8,206.2,240.8,88.0,228.8,240.8,True,
v202_sweep,6T,256,8,0,read,TT,25.0,1.0,1e-08,1,137.3,236.1,267.3,523.8,661.1,267.3,True,
v202_sweep,6T,256,8,0,write,TT,25.0,1.0,1e-08,1,140.0,238.7,268.3,95.7,235.7,268.3,True,
v202_sweep,6T,256,8,1,read,TT,25.0,1.0,1e-08,1,137.3,236.0,267.6,521.3,658.6,267.6,True,
v202_sweep,6T,256,8,1,write,TT,25.0,1.0,1e-08,1,140.0,238.7,267.9,96.2,236.2,267.9,True,
v202_sweep,6T,2,128,0,read,TT,25.0,1.0,1e-08,1,121.5,175.1,275.7,321.7,443.2,275.7,True,
v202_sweep,6T,2,128,0,write,TT,25.0,1.0,1e-08,1,152.9,212.1,275.7,175.8,328.7,275.7,True,
v202_sweep,6T,2,128,1,read,TT,25.0,1.0,1e-08,1,121.4,175.0,291.8,316.3,437.7,291.8,True,
v202_sweep,6T,2,128,1,write,TT,25.0,1.0,1e-08,1,153.0,212.3,280.2,191.6,344.6,280.2,True,
v202_sweep,6T,2,1,0,read,TT,25.0,1.0,1e-08,1,113.2,166.2,218.1,283.6,396.8,218.1,True,
v202_sweep,6T,2,1,0,write,TT,25.0,1.0,1e-08,1,114.8,166.8,189.2,120.6,235.4,189.2,True,
v202_sweep,6T,2,2,0,read,TT,25.0,1.0,1e-08,1,113.6,166.1,223.2,284.1,397.7,223.2,True,
v202_sweep,6T,2,2,0,write,TT,25.0,1.0,1e-08,1,115.5,166.9,195.5,121.4,236.9,195.5,True,
v202_sweep,6T,2,2,1,read,TT,25.0,1.0,1e-08,1,113.5,166.1,247.2,283.6,397.1,247.2,True,
v202_sweep,6T,2,2,1,write,TT,25.0,1.0,1e-08,1,115.5,166.8,195.9,139.9,255.4,195.9,True,
v202_sweep,6T,32,32,0,read,TT,25.0,1.0,1e-08,1,133.0,215.7,261.0,332.4,465.3,261.0,True,
v202_sweep,6T,32,32,0,write,TT,25.0,1.0,1e-08,1,146.5,230.4,259.1,100.2,246.7,259.1,True,
v202_sweep,6T,32,32,1,read,TT,25.0,1.0,1e-08,1,133.0,215.7,247.8,325.5,458.4,247.8,True,
v202_sweep,6T,32,32,1,write,TT,25.0,1.0,1e-08,1,146.5,230.4,256.6,102.3,248.8,256.6,True,
v202_sweep,6T,32,8,0,read,TT,25.0,1.0,1e-08,1,129.7,213.4,239.6,320.5,450.2,239.6,True,
v202_sweep,6T,32,8,0,write,TT,25.0,1.0,1e-08,1,134.8,216.3,232.7,82.1,216.8,232.7,True,
v202_sweep,6T,32,8,1,read,TT,25.0,1.0,1e-08,1,129.7,213.4,226.5,318.4,448.0,226.5,True,
v202_sweep,6T,32,8,1,write,TT,25.0,1.0,1e-08,1,134.6,216.3,230.6,83.9,218.5,230.6,True,
v202_sweep,6T,3,3,0,read,TT,25.0,1.0,1e-08,1,115.5,164.5,235.2,285.7,401.3,235.2,True,
v202_sweep,6T,3,3,0,write,TT,25.0,1.0,1e-08,1,117.6,166.1,206.6,123.2,240.9,206.6,True,
v202_sweep,6T,4,2,0,read,TT,25.0,1.0,1e-08,1,116.1,168.7,231.4,286.0,402.1,231.4,True,
v202_sweep,6T,4,2,0,write,TT,25.0,1.0,1e-08,1,117.5,170.1,202.5,124.1,241.6,202.5,True,
v202_sweep,6T,4,2,1,read,TT,25.0,1.0,1e-08,1,116.1,168.6,255.3,285.4,401.5,255.3,True,
v202_sweep,6T,4,2,1,write,TT,25.0,1.0,1e-08,1,117.5,170.1,203.4,142.1,259.5,203.4,True,
v202_sweep,6T,4,4,0,read,TT,25.0,1.0,1e-08,1,116.0,168.5,241.6,287.0,403.0,241.6,True,
v202_sweep,6T,4,4,0,write,TT,25.0,1.0,1e-08,1,118.9,171.1,214.5,126.1,245.0,214.5,True,
v202_sweep,6T,4,4,1,read,TT,25.0,1.0,1e-08,1,116.0,168.4,263.3,286.0,401.9,263.3,True,
v202_sweep,6T,4,4,1,write,TT,25.0,1.0,1e-08,1,118.9,171.1,216.0,145.0,263.9,216.0,True,
v202_sweep,6T,512,4,0,read,TT,25.0,1.0,1e-08,1,146.4,245.3,279.0,739.0,885.4,279.0,True,
v202_sweep,6T,512,4,0,write,TT,25.0,1.0,1e-08,1,141.3,242.4,274.9,95.0,236.3,274.9,True,
v202_sweep,6T,512,4,1,read,TT,25.0,1.0,1e-08,1,141.9,241.9,273.3,734.0,876.0,273.3,True,
v202_sweep,6T,512,4,1,write,TT,25.0,1.0,1e-08,1,148.4,245.9,278.2,93.7,242.1,278.2,True,
v202_sweep,6T,5,3,0,read,TT,25.0,1.0,1e-08,1,117.9,162.0,235.9,287.5,405.4,235.9,True,
v202_sweep,6T,5,3,0,write,TT,25.0,1.0,1e-08,1,120.1,163.8,208.5,125.3,245.4,208.5,True,
v202_sweep,6T,64,16,0,read,TT,25.0,1.0,1e-08,1,135.0,216.9,255.0,357.6,492.6,255.0,True,
v202_sweep,6T,64,16,0,write,TT,25.0,1.0,1e-08,1,143.0,223.2,259.2,93.4,236.4,259.2,True,
v202_sweep,6T,64,16,1,read,TT,25.0,1.0,1e-08,1,135.0,217.0,256.9,353.5,488.4,256.9,True,
v202_sweep,6T,64,16,1,write,TT,25.0,1.0,1e-08,1,142.9,226.3,264.8,94.2,237.1,264.8,True,
