Index        {U}              V(V1)             V(V2)      
341     -3.69000000e-01    9.67774638e-01    7.79942226e-01
342     -3.68000000e-01    9.67694762e-01    7.79496286e-01
343     -3.67000000e-01    9.67607131e-01    7.79051828e-01
344     -3.66000000e-01    9.67511769e-01    7.78608844e-01
345     -3.65000000e-01    9.67408696e-01    7.78167324e-01
346     -3.64000000e-01    9.67297936e-01    7.77727259e-01
347     -3.63000000e-01    9.67179510e-01    7.77288639e-01
348     -3.62000000e-01    9.67053441e-01    7.76851455e-01
349     -3.61000000e-01    9.66919752e-01    7.76415698e-01
350     -3.60000000e-01    9.66778467e-01    7.75981359e-01
351     -3.59000000e-01    9.66629608e-01    7.75548429e-01
352     -3.58000000e-01    9.66473199e-01    7.75116900e-01
353     -3.57000000e-01    9.66309264e-01    7.74686761e-01
354     -3.56000000e-01    9.66137826e-01    7.74258005e-01
355     -3.55000000e-01    9.65958910e-01    7.73830624e-01
356     -3.54000000e-01    9.65772539e-01    7.73404608e-01
357     -3.53000000e-01    9.65578739e-01    7.72979949e-01
358     -3.52000000e-01    9.65377533e-01    7.72556640e-01
359     -3.51000000e-01    9.65168947e-01    7.72134671e-01
360     -3.50000000e-01    9.64953005e-01    7.71714036e-01
361     -3.49000000e-01    9.64729733e-01    7.71294726e-01
362     -3.48000000e-01    9.64499156e-01    7.70876733e-01
363     -3.47000000e-01    9.64261300e-01    7.70460050e-01
364     -3.46000000e-01    9.64016190e-01    7.70044670e-01
365     -3.45000000e-01    9.63763854e-01    7.69630584e-01
366     -3.44000000e-01    9.63504316e-01    7.69217787e-01
367     -3.43000000e-01    9.63237604e-01    7.68806271e-01
368     -3.42000000e-01    9.62963744e-01    7.68396030e-01
369     -3.41000000e-01    9.62682764e-01    7.67987055e-01
370     -3.40000000e-01    9.62394690e-01    7.67579342e-01
371     -3.39000000e-01    9.62099551e-01    7.67172884e-01
372     -3.38000000e-01    9.61797374e-01    7.66767674e-01
373     -3.37000000e-01    9.61488188e-01    7.66363706e-01
374     -3.36000000e-01    9.61172020e-01    7.65960975e-01
375     -3.35000000e-01    9.60848900e-01    7.65559475e-01
376     -3.34000000e-01    9.60518857e-01    7.65159200e-01
377     -3.33000000e-01    9.60181920e-01    7.64760144e-01
378     -3.32000000e-01    9.59838120e-01    7.64362304e-01
379     -3.31000000e-01    9.59487486e-01    7.63965672e-01
380     -3.30000000e-01    9.59130049e-01    7.63570246e-01
381     -3.29000000e-01    9.58765840e-01    7.63176020e-01
382     -3.28000000e-01    9.58394892e-01    7.62782989e-01
383     -3.27000000e-01    9.58017235e-01    7.62391149e-01
384     -3.26000000e-01    9.57632903e-01    7.62000495e-01
385     -3.25000000e-01    9.57241928e-01    7.61611025e-01
386     -3.24000000e-01    9.56844344e-01    7.61222734e-01
387     -3.23000000e-01    9.56440185e-01    7.60835618e-01
388     -3.22000000e-01    9.56029487e-01    7.60449674e-01
389     -3.21000000e-01    9.55612284e-01    7.60064898e-01
390     -3.20000000e-01    9.55188612e-01    7.59681288e-01
391     -3.19000000e-01    9.54758508e-01    7.59298840e-01
392     -3.18000000e-01    9.54322011e-01    7.58917552e-01
393     -3.17000000e-01    9.53879157e-01    7.58537421e-01
394     -3.16000000e-01    9.53429986e-01    7.58158444e-01
395     -3.15000000e-01    9.52974538e-01    7.57780620e-01
396     -3.14000000e-01    9.52512854e-01    7.57403946e-01
397     -3.13000000e-01    9.52044975e-01    7.57028420e-01
398     -3.12000000e-01    9.51570943e-01    7.56654040e-01
399     -3.11000000e-01    9.51090802e-01    7.56280806e-01
400     -3.10000000e-01    9.50604597e-01    7.55908714e-01
401     -3.09000000e-01    9.50112373e-01    7.55537766e-01
402     -3.08000000e-01    9.49614177e-01    7.55167958e-01
403     -3.07000000e-01    9.49110055e-01    7.54799290e-01
404     -3.06000000e-01    9.48600058e-01    7.54431762e-01
405     -3.05000000e-01    9.48084235e-01    7.54065373e-01
406     -3.04000000e-01    9.47562636e-01    7.53700123e-01
407     -3.03000000e-01    9.47035315e-01    7.53336011e-01
408     -3.02000000e-01    9.46502324e-01    7.52973037e-01
409     -3.01000000e-01    9.45963718e-01    7.52611201e-01
410     -3.00000000e-01    9.45419554e-01    7.52250504e-01
411     -2.99000000e-01    9.44869889e-01    7.51890946e-01
412     -2.98000000e-01    9.44314780e-01    7.51532527e-01
413     -2.97000000e-01    9.43754288e-01    7.51175248e-01
414     -2.96000000e-01    9.43188474e-01    7.50819110e-01
415     -2.95000000e-01    9.42617400e-01    7.50464115e-01
416     -2.94000000e-01    9.42041130e-01    7.50110263e-01
417     -2.93000000e-01    9.41459728e-01    7.49757555e-01
418     -2.92000000e-01    9.40873261e-01    7.49405993e-01
419     -2.91000000e-01    9.40281795e-01    7.49055579e-01
420     -2.90000000e-01    9.39685400e-01    7.48706314e-01
421     -2.89000000e-01    9.39084144e-01    7.48358200e-01
422     -2.88000000e-01    9.38478097e-01    7.48011239e-01
423     -2.87000000e-01    9.37867333e-01    7.47665434e-01
424     -2.86000000e-01    9.37251922e-01    7.47320787e-01
425     -2.85000000e-01    9.36631939e-01    7.46977300e-01
426     -2.84000000e-01    9.36007458e-01    7.46634975e-01
427     -2.83000000e-01    9.35378553e-01    7.46293816e-01
428     -2.82000000e-01    9.34745301e-01    7.45953825e-01
429     -2.81000000e-01    9.34107778e-01    7.45615005e-01
430     -2.80000000e-01    9.33466061e-01    7.45277360e-01
431     -2.79000000e-01    9.32820227e-01    7.44940892e-01
432     -2.78000000e-01    9.32170354e-01    7.44605604e-01
433     -2.77000000e-01    9.31516519e-01    7.44271501e-01
434     -2.76000000e-01    9.30858802e-01    7.43938585e-01
435     -2.75000000e-01    9.30197280e-01    7.43606861e-01
436     -2.74000000e-01    9.29532032e-01    7.43276332e-01
437     -2.73000000e-01    9.28863135e-01    7.42947002e-01
438     -2.72000000e-01    9.28190669e-01    7.42618875e-01
439     -2.71000000e-01    9.27514710e-01    7.42291954e-01
440     -2.70000000e-01    9.26835335e-01    7.41966245e-01
441     -2.69000000e-01    9.26152623e-01    7.41641752e-01
442     -2.68000000e-01    9.25466649e-01    7.41318478e-01
443     -2.67000000e-01    9.24777489e-01    7.40996428e-01
444     -2.66000000e-01    9.24085218e-01    7.40675607e-01
445     -2.65000000e-01    9.23389911e-01    7.40356019e-01
446     -2.64000000e-01    9.22691640e-01    7.40037670e-01
447     -2.63000000e-01    9.21990480e-01    7.39720563e-01
448     -2.62000000e-01    9.21286501e-01    7.39404705e-01
449     -2.61000000e-01    9.20579774e-01    7.39090099e-01
450     -2.60000000e-01    9.19870368e-01    7.38776750e-01
451     -2.59000000e-01    9.19158353e-01    7.38464665e-01
452     -2.58000000e-01    9.18443796e-01    7.38153847e-01
453     -2.57000000e-01    9.17726762e-01    7.37844303e-01
454     -2.56000000e-01    9.17007317e-01    7.37536038e-01
455     -2.55000000e-01    9.16285525e-01    7.37229056e-01
456     -2.54000000e-01    9.15561447e-01    7.36923363e-01
457     -2.53000000e-01    9.14835146e-01    7.36618966e-01
458     -2.52000000e-01    9.14106680e-01    7.36315868e-01
459     -2.51000000e-01    9.13376109e-01    7.36014077e-01
460     -2.50000000e-01    9.12643490e-01    7.35713597e-01
461     -2.49000000e-01    9.11908879e-01    7.35414435e-01
462     -2.48000000e-01    9.11172329e-01    7.35116595e-01
