Index        {U}              V(V1)             V(V2)      
228     -4.82000000e-01    9.21025042e-01    4.89202628e-01
229     -4.81000000e-01    9.21718442e-01    4.88392230e-01
230     -4.80000000e-01    9.22405248e-01    4.87585755e-01
231     -4.79000000e-01    9.23085384e-01    4.86783249e-01
232     -4.78000000e-01    9.23758777e-01    4.85984756e-01
233     -4.77000000e-01    9.24425355e-01    4.85190321e-01
234     -4.76000000e-01    9.25085047e-01    4.84399987e-01
235     -4.75000000e-01    9.25737784e-01    4.83613799e-01
236     -4.74000000e-01    9.26383499e-01    4.82831801e-01
237     -4.73000000e-01    9.27022125e-01    4.82054034e-01
238     -4.72000000e-01    9.27653597e-01    4.81280542e-01
239     -4.71000000e-01    9.28277853e-01    4.80511367e-01
240     -4.70000000e-01    9.28894829e-01    4.79746551e-01
241     -4.69000000e-01    9.29504468e-01    4.78986137e-01
242     -4.68000000e-01    9.30106709e-01    4.78230164e-01
243     -4.67000000e-01    9.30701497e-01    4.77478674e-01
244     -4.66000000e-01    9.31288776e-01    4.76731708e-01
245     -4.65000000e-01    9.31868493e-01    4.75989306e-01
246     -4.64000000e-01    9.32440597e-01    4.75251508e-01
247     -4.63000000e-01    9.33005038e-01    4.74518353e-01
248     -4.62000000e-01    9.33561767e-01    4.73789882e-01
249     -4.61000000e-01    9.34110738e-01    4.73066133e-01
250     -4.60000000e-01    9.34651907e-01    4.72347145e-01
251     -4.59000000e-01    9.35185230e-01    4.71632958e-01
252     -4.58000000e-01    9.35710667e-01    4.70923608e-01
253     -4.57000000e-01    9.36228178e-01    4.70219135e-01
254     -4.56000000e-01    9.36737726e-01    4.69519577e-01
255     -4.55000000e-01    9.37239274e-01    4.68824971e-01
256     -4.54000000e-01    9.37732788e-01    4.68135355e-01
257     -4.53000000e-01    9.38218236e-01    4.67450766e-01
258     -4.52000000e-01    9.38695587e-01    4.66771242e-01
259     -4.51000000e-01    9.39164812e-01    4.66096821e-01
260     -4.50000000e-01    9.39625882e-01    4.65427538e-01
261     -4.49000000e-01    9.40078773e-01    4.64763432e-01
262     -4.48000000e-01    9.40523460e-01    4.64104540e-01
263     -4.47000000e-01    9.40959939e-01    4.63450898e-01
264     -4.46000000e-01    9.41388232e-01    4.62802543e-01
265     -4.45000000e-01    9.41808322e-01    4.62159513e-01
266     -4.44000000e-01    9.42220192e-01    4.61521844e-01
267     -4.43000000e-01    9.42623826e-01    4.60889573e-01
268     -4.42000000e-01    9.43019211e-01    4.60262738e-01
269     -4.41000000e-01    9.43406333e-01    4.59641376e-01
270     -4.40000000e-01    9.43785181e-01    4.59025524e-01
271     -4.39000000e-01    9.44155745e-01    4.58415219e-01
272     -4.38000000e-01    9.44518016e-01    4.57810499e-01
273     -4.37000000e-01    9.44871987e-01    4.57211402e-01
274     -4.36000000e-01    9.45217652e-01    4.56617965e-01
275     -4.35000000e-01    9.45555004e-01    4.56030228e-01
276     -4.34000000e-01    9.45884039e-01    4.55448227e-01
277     -4.33000000e-01    9.46204756e-01    4.54872002e-01
278     -4.32000000e-01    9.46517151e-01    4.54301591e-01
279     -4.31000000e-01    9.46821224e-01    4.53737033e-01
280     -4.30000000e-01    9.47116976e-01    4.53178368e-01
281     -4.29000000e-01    9.47404406e-01    4.52625636e-01
282     -4.28000000e-01    9.47683517e-01    4.52078875e-01
283     -4.27000000e-01    9.47954313e-01    4.51538128e-01
284     -4.26000000e-01    9.48216796e-01    4.51003433e-01
285     -4.25000000e-01    9.48470972e-01    4.50474833e-01
286     -4.24000000e-01    9.48716846e-01    4.49952368e-01
287     -4.23000000e-01    9.48954424e-01    4.49436081e-01
288     -4.22000000e-01    9.49183713e-01    4.48926012e-01
289     -4.21000000e-01    9.49404722e-01    4.48422206e-01
290     -4.20000000e-01    9.49617458e-01    4.47924704e-01
291     -4.19000000e-01    9.49821932e-01    4.47433551e-01
292     -4.18000000e-01    9.50018152e-01    4.46948790e-01
293     -4.17000000e-01    9.50206129e-01    4.46470465e-01
294     -4.16000000e-01    9.50385875e-01    4.45998621e-01
295     -4.15000000e-01    9.50557401e-01    4.45533303e-01
296     -4.14000000e-01    9.50720720e-01    4.45074556e-01
297     -4.13000000e-01    9.50875844e-01    4.44622428e-01
298     -4.12000000e-01    9.51022786e-01    4.44176964e-01
299     -4.11000000e-01    9.51161561e-01    4.43738211e-01
300     -4.10000000e-01    9.51292182e-01    4.43306218e-01
301     -4.09000000e-01    9.51414665e-01    4.42881031e-01
302     -4.08000000e-01    9.51529025e-01    4.42462700e-01
303     -4.07000000e-01    9.51635277e-01    4.42051273e-01
304     -4.06000000e-01    9.51733438e-01    4.41646801e-01
305     -4.05000000e-01    9.51823524e-01    4.41249332e-01
306     -4.04000000e-01    9.51905551e-01    4.40858917e-01
307     -4.03000000e-01    9.51979537e-01    4.40475607e-01
308     -4.02000000e-01    9.52045500e-01    4.40099454e-01
309     -4.01000000e-01    9.52103457e-01    4.39730509e-01
310     -4.00000000e-01    9.52153427e-01    4.39368825e-01
311     -3.99000000e-01    9.52195428e-01    4.39014454e-01
312     -3.98000000e-01    9.52229478e-01    4.38667449e-01
313     -3.97000000e-01    9.52255597e-01    4.38327865e-01
314     -3.96000000e-01    9.52273805e-01    4.37995754e-01
315     -3.95000000e-01    9.52284120e-01    4.37671173e-01
316     -3.94000000e-01    9.52286562e-01    4.37354175e-01
317     -3.93000000e-01    9.52281153e-01    4.37044815e-01
318     -3.92000000e-01    9.52267911e-01    4.36743150e-01
319     -3.91000000e-01    9.52246857e-01    4.36449235e-01
320     -3.90000000e-01    9.52218013e-01    4.36163127e-01
321     -3.89000000e-01    9.52181399e-01    4.35884882e-01
322     -3.88000000e-01    9.52137035e-01    4.35614557e-01
323     -3.87000000e-01    9.52084945e-01    4.35352210e-01
324     -3.86000000e-01    9.52025148e-01    4.35097898e-01
325     -3.85000000e-01    9.51957667e-01    4.34851679e-01
326     -3.84000000e-01    9.51882523e-01    4.34613611e-01
327     -3.83000000e-01    9.51799739e-01    4.34383751e-01
328     -3.82000000e-01    9.51709336e-01    4.34162160e-01
329     -3.81000000e-01    9.51611338e-01    4.33948894e-01
330     -3.80000000e-01    9.51505766e-01    4.33744014e-01
331     -3.79000000e-01    9.51392643e-01    4.33547577e-01
332     -3.78000000e-01    9.51271992e-01    4.33359642e-01
333     -3.77000000e-01    9.51143836e-01    4.33180269e-01
334     -3.76000000e-01    9.51008198e-01    4.33009516e-01
335     -3.75000000e-01    9.50865101e-01    4.32847443e-01
336     -3.74000000e-01    9.50714569e-01    4.32694108e-01
337     -3.73000000e-01    9.50556625e-01    4.32549569e-01
338     -3.72000000e-01    9.50391293e-01    4.32413887e-01
339     -3.71000000e-01    9.50218596e-01    4.32287119e-01
340     -3.70000000e-01    9.50038559e-01    4.32169323e-01
341     -3.69000000e-01    9.49851205e-01    4.32060559e-01
342     -3.68000000e-01    9.49656560e-01    4.31960882e-01
343     -3.67000000e-01    9.49454646e-01    4.31870352e-01
344     -3.66000000e-01    9.49245490e-01    4.31789025e-01
345     -3.65000000e-01    9.49029115e-01    4.31716958e-01
346     -3.64000000e-01    9.48805546e-01    4.31654207e-01
347     -3.63000000e-01    9.48574808e-01    4.31600828e-01
348     -3.62000000e-01    9.48336927e-01    4.31556876e-01
349     -3.61000000e-01    9.48091928e-01    4.31522406e-01
350     -3.60000000e-01    9.47839836e-01    4.31497471e-01
